year,Base,Higher mortality,Lower interest,Higher benefit
4.083333333333333,1800.5919032207496,-911.7721235495061,1744.8481921999687,450.1479758051873
4.166666666666666,1841.0567467650774,-932.5115496141184,1782.8851474457315,460.26418669126923
4.25,1881.680388389861,-953.3427773900644,1821.0236699349534,470.42009709746515
4.333333333333333,1922.4634512738432,-974.266213231607,1859.2640308750654,480.6158628184607
4.416666666666666,1963.4065610413372,-995.2822652917107,1897.6065021976842,490.8516402603342
4.5,2004.5103457718235,-1016.3913435300019,1936.051356560546,501.12758644295576
4.583333333333333,2045.7754360095826,-1037.593859720766,1974.598867349443,511.4438590023955
4.666666666666666,2087.202464773371,-1058.8902274609811,2013.2493086801703,521.8006161933426
4.75,2128.7920675661303,-1080.280862178385,2052.002955400474,532.1980168915325
4.833333333333333,2170.5448823847346,-1101.7661811395785,2090.860083092004,542.6362205961835
4.916666666666666,2212.4615497297805,-1123.3466034581668,2129.8209680722775,553.115387432445
5.0,2254.542712615411,-1145.0225501029333,2168.885887396641,563.6356781538526
5.083333333333333,2296.789016579178,-1166.7944439060523,2208.05511886024,574.1972541447944
5.166666666666666,2339.201109691949,-1188.662709571337,2247.328940999997,584.8002774229872
5.25,2381.7796425678453,-1210.6277736825245,2286.707633096591,595.4449106419612
5.333333333333333,2424.5252683742224,-1232.6900647115963,2326.191475176442,606.1313170935556
5.416666666666666,2467.4386428416933,-1254.8500130271375,2365.7807480137053,616.8596607104233
5.5,2510.5204242741843,-1277.1080509027317,2405.4757331322653,627.6301060685461
5.583333333333333,2553.7712735590335,-1299.4646125253928,2445.276712807739,638.4428183897584
5.666666666666666,2597.191854177132,-1321.9201340040354,2485.1839700694827,649.297963544283
5.75,2640.7828322130995,-1344.4750533779816,2525.197788702606,660.1957080532749
5.833333333333333,2684.5448763655018,-1367.1298106255053,2565.3184532499868,671.1362190913754
5.916666666666666,2728.478657957111,-1389.8848476724163,2605.5462490142977,682.1196644892776
6.0,2772.584850945202,-1412.7406084006798,2645.8814620600347,693.1462127363004
6.083333333333333,2816.8641319318917,-1435.6975386570748,2686.324379215548,704.2160329829728
6.166666666666666,2861.3171801745184,-1458.7560862618927,2726.8752880750862,715.3292950436295
6.25,2905.944677596063,-1481.9167010176723,2767.534477000839,726.4861693990156
6.333333333333333,2950.747308795606,-1505.1798347179724,2808.302235124988,737.6868271989014
6.416666666666666,2995.725761058835,-1528.545941156188,2849.1788523517616,748.9314402647086
6.5,3040.8807243685837,-1552.0154761344002,2890.1646193595006,760.2201810921458
6.583333333333333,3086.2128914154173,-1575.5888974722677,2931.2598276027197,771.5532228538542
6.666666666666666,3131.7229576082595,-1599.2666650159588,2972.4647693141847,782.9307394020648
6.75,3177.4116210850607,-1623.0492406471205,3013.779737506988,794.3529052712651
6.833333333333333,3223.279582723505,-1646.9370882918881,3055.2050259766324,805.8198956808761
6.916666666666666,3269.3275461517646,-1670.9306739299363,3096.740929303122,817.331886537941
7.0,3315.5562177592938,-1695.0304656035682,3138.387742853056,828.8890544398233
7.083333333333333,3361.9663067076613,-1719.2369334268446,3180.1457627817276,840.4915766769152
7.166666666666666,3408.558524941434,-1743.5505495947566,3222.0152860352327,852.1396312353584
7.25,3455.3335871990957,-1767.9717883924352,3263.9966103525803,863.8333967997739
7.333333333333333,3502.2922110240115,-1792.5011262044027,3306.0900342678083,875.5730527560029
7.416666666666666,3549.435116775436,-1817.1390415238673,3348.2958571121085,887.358779193859
7.5,3596.763027639564,-1841.8860149620557,3390.6143790159554,899.190756909891
7.583333333333333,3644.276669640621,-1866.7425292575883,3433.045900911238,911.0691674101553
7.666666666666666,3691.976771652007,-1891.709069285897,3475.5907245334015,922.9941929130017
7.75,3739.8640654074716,-1916.786122068683,3518.2491524235943,934.9660163518679
7.833333333333333,3787.939285512342,-1941.9741767834164,3561.021487930816,946.9848213780855
7.916666666666666,3836.203169454792,-1967.27372477288,3603.9080352140772,959.050792363698
8.0,3884.656457617154,-1992.6852595547539,3646.909099244562,971.1641144042885
8.083333333333332,3933.2998932872774,-2018.2092768312398,3690.0249858077946,983.3249733218194
8.166666666666666,3982.134222669933,-2043.8462744987355,3733.2560015058184,995.5335556674833
8.25,4031.160194898255,-2069.5967526575423,3776.6024537593707,1007.7900487245638
8.333333333333332,4080.378562045237,-2095.4612136216233,3820.0646508100713,1020.0946405113092
8.416666666666666,4129.790079135269,-2121.440161928403,3863.642901722618,1032.4475197838171
8.5,4179.3955041557165,-2147.534104348606,3907.3375163869773,1044.8488760389291
8.583333333333332,4229.195598068551,-2173.743549896144,3951.1488055205928,1057.2988995171377
8.666666666666666,4279.191124822025,-2200.0690098380474,3995.0770806705955,1069.7977812055062
8.75,4329.382851362386,-2226.5109977044353,4039.1226542160152,1082.3457128405964
8.833333333333332,4379.771547645644,-2253.070029298534,4083.285839370004,1094.942886911411
8.916666666666666,4430.357986649387,-2279.7466227067403,4127.566950182067,1107.5894966623468
9.0,4481.142944384634,-2306.541298308725,4171.9663015402875,1120.2857360961584
9.083333333333332,4532.127199907735,-2333.454578787586,4216.4842091735745,1133.0317999769338
9.166666666666666,4583.311535332337,-2360.4869891400444,4261.120989653904,1145.8278838330843
9.25,4634.696735841365,-2387.6390566866844,4305.876960398568,1158.6741839603412
9.333333333333332,4686.283589699075,-2414.9113110822395,4350.752439672437,1171.5708974247686
9.416666666666666,4738.072888263147,-2442.304284325927,4395.747746590219,1184.5182220657869
9.5,4790.065425996825,-2469.8185107718214,4440.863201118732,1197.5163564992063
9.583333333333332,4842.262000481096,-2497.454527139282,4486.099124079173,1210.565500120274
9.666666666666666,4894.6634124269385,-2525.212872523423,4531.4558371494095,1223.6658531067346
9.75,4947.270465687593,-2553.094088405624,4576.933662866259,1236.8176164218983
9.833333333333332,5000.083967270902,-2581.098718664098,4622.532924627782,1250.0209918177254
9.916666666666666,5053.104727351686,-2609.2273095845017,4668.253946695592,1263.2761818379215
10.0,5106.333559284173,-2637.480409870586,4714.097054197147,1276.5833898210433
10.083333333333332,5159.771279614472,-2665.8585706549043,4760.062573128072,1289.942819903618
10.166666666666666,5213.418708093108,-2694.362345509563,4806.150830354472,1303.354677023277
10.25,5267.276667687586,-2722.9922904570185,4852.362153615261,1316.8191669218966
10.333333333333332,5321.345984595023,-2751.7489639809237,4898.696871524487,1330.3364961487557
10.416666666666666,5375.6274882548205,-2780.632927037024,4945.155313573673,1343.9068720637051
10.5,5430.122011361387,-2809.6447430640974,4991.737810134158,1357.5305028403468
10.583333333333332,5484.830389876912,-2838.784977994947,5038.444692459447,1371.207597469228
10.666666666666666,5539.753463044193,-2868.054200267442,5085.276292687568,1384.9383657610483
10.75,5594.892073399506,-2897.4529808356024,5132.232943843429,1398.7230183498766
10.833333333333332,5650.24706678553,-2926.9818931807395,5179.314979841192,1412.5617666963824
10.916666666666666,5705.819292364326,-2956.6415133226433,5226.5227354866465,1426.4548230910816
11.0,5761.609602630362,-2986.432419830816,5273.8565464795865,1440.4024006575905
11.083333333333332,5817.618853423587,-3016.3551938357596,5321.316749416199,1454.4047133558968
11.166666666666666,5873.8479039425665,-3046.4104190403145,5368.903681791462,1468.4619759856416
11.25,5930.297616757657,-3076.598681731042,5416.61768200154,1482.5744041894143
11.333333333333332,5986.9688578242385,-3106.920570789661,5464.459089346189,1496.7422144560596
11.416666666666666,6043.862496496005,-3137.3766777045403,5512.428244031176,1510.9656241240014
11.5,6100.979405538293,-3167.9675965822303,5560.525487170692,1525.2448513845732
11.583333333333332,6158.320461141469,-3198.6939241590558,5608.751160789778,1539.5801152853674
11.666666666666666,6215.886542934384,-3229.556259812757,5657.105607826763,1553.971635733596
11.75,6273.67853399785,-3260.555205574179,5705.589172135695,1568.4196334994624
11.833333333333332,6331.697320878195,-3291.691366139017,5754.202198488791,1582.9243302195487
11.916666666666666,6389.943793600866,-3322.9653488796143,5802.9450325788885,1597.4859484002166
12.0,6448.418845684076,-3354.3777638568054,5851.818021021902,1612.104711421019
12.083333333333332,6507.123374152511,-3385.9292238318194,5900.821511359287,1626.7808435381278
12.166666666666666,6566.0582795511,-3417.6203442782353,5949.955852060517,1641.514569887775
